Pixel ID,Land cover stratum at beginning of time series (1985),Land cover stratum at end of time series (2016),Label 1. Disturbance Label #1,When was the disturbance?,Magnitude of disturbance,Label 2. Second disturbance,When was the disturbance?,Magnitude of disturbance,Total # Disturbances
1,1,2,4,7/30/86,1,3,8/11/05,3,2
1,1,2,3,7/23/93,2,0,N/A,N/A,1
2,1,2,4,9/23/87,3,3,10/12/94,3,2
3,1,1,0,N/A,N/A,0,N/A,N/A,0
4,1,1,0,N/A,N/A,0,N/A,N/A,0
5,2,2,0,N/A,N/A,0,N/A,N/A,1
6,1,1,4,5/21/15,1,0,N/A,N/A,1
7,1,2,3,1/2/99,3,0,N/A,N/A,1
8,1,1,0,N/A,N/A,0,N/A,N/A,0
9,1,1,0,N/A,N/A,0,N/A,N/A,0
10,1,1,0,N/A,N/A,0,N/A,N/A,0
11,1,1,0,N/A,N/A,0,N/A,N/A,0
12,1,1,0,N/A,N/A,0,N/A,N/A,0
13,1,2,3,9/2/86,3,0,N/A,N/A,1
14,1,1,4,2/5/09,3,0,N/A,N/A,1
15,1,1,0,N/A,N/A,0,N/A,N/A,0
16,1,1,0,N/A,N/A,0,N/A,N/A,0
17,1,2,3,2/2/93,2,0,N/A,N/A,1
18,1,2,4,8/17/97,2,4,4/10/17,2,2
19,1,1,3,8/30/05,1,0,N/A,N/A,1
20,1,2,3,4/29/95,3,0,N/A,N/A,1
21,2,1,3,7/25/95,3,0,N/A,N/A,1
22,1,1,0,N/A,N/A,0,N/A,N/A,0
23,1,1,0,N/A,N/A,0,N/A,N/A,0
24,1,1,0,N/A,N/A,0,N/A,N/A,0
25,1,1,0,N/A,N/A,0,N/A,N/A,0
26,1,1,4,9/17/00,3,0,N/A,N/A,1
27,1,2,3,6/9/85,3,0,N/A,N/A,1
28,1,2,3,6/18/05,3,0,N/A,N/A,1
29,1,2,3,6/30/06,2,0,N/A,N/A,1
30,1,2,3,9/22/96,1,0,N/A,N/A,1
31,1,1,4,10/25/87,1,0,N/A,N/A,1
32,1,2,3,7/21/93,2,0,N/A,N/A,1
33,1,1,4,6/9/07,1,0,N/A,N/A,1
34,1,1,0,N/A,N/A,N/A,N/A,N/A,0
35,1,1,0,N/A,N/A,0,N/A,N/A,0
36,1,1,0,N/A,N/A,N/A,N/A,N/A,0
37,1,2,3,9/4/04,3,N/A,N/A,N/A,1
38,1,1,0,N/A,N/A,N/A,N/A,N/A,0
39,1,2,3,6/4/99,3,N/A,N/A,N/A,1
40,1,2,3,10/19/94,3,N/A,N/A,N/A,1
41,1,1,0,N/A,N/A,N/A,N/A,N/A,0
42,1,1,0,N/A,N/A,N/A,N/A,N/A,0
43,1,1,0,N/A,N/A,N/A,N/A,N/A,0
44,1,1,4,2/21/89,1,3,10/25/97,2,2
45,1,1,0,N/A,N/A,N/A,N/A,N/A,0
46,1,1,0,N/A,N/A,N/A,N/A,N/A,0
47,1,1,0,N/A,N/A,N/A,N/A,N/A,0
48,1,1,4,7/30/88,1,N/A,N/A,N/A,1
49,1,1,0,N/A,N/A,N/A,N/A,N/A,0
50,1,2,3,4/7/08,3,N/A,N/A,N/A,1
51,1,1,0,N/A,N/A,N/A,N/A,N/A,0
52,1,1,0,N/A,N/A,N/A,N/A,N/A,0
54,1,2,3,8/3/01,3,0,N/A,N/A,1
55,1,2,3,10/13/86,3,0,N/A,N/A,1
56,1,1,0,N/A,N/A,N/A,N/A,N/A,0
57,1,1,0,N/A,N/A,N/A,N/A,N/A,0
58,1,1,0,N/A,N/A,N/A,N/A,N/A,0
59,1,1,0,N/A,N/A,N/A,N/A,N/A,0
60,1,2,3,5/29/95,3,N/A,N/A,NA,1
61,1,1,0,N/A,N/A,N/A,N/A,N/A,0
62,1,1,0,N/A,N/A,N/A,N/A,N/A,0
63,1,1,0,N/A,N/A,N/A,N/A,N/A,0
64,1,2,4,7/26/93,2,3,7/11/00,3,2
65,1,1,0,N/A,N/A,N/A,N/A,N/A,0
66,2,2,0,N/A,N/A,N/A,N/A,N/A,0
67,1,1,0,N/A,N/A,N/A,N/A,N/A,0
68,2,2,0,N/A,N/A,N/A,N/A,N/A,0
69,1,2,3,9/11/86,3,0,N/A,N/A,1
70,2,2,0,N/A,N/A,N/A,N/A,N/A,0
71,1,1,0,N/A,N/A,N/A,N/A,N/A,0
72,1,2,3,8/3/95,3,0,N/A,N/A,1
73,1,2,3,9/11/86,3,0,N/A,N/A,1
74,1,2,3,8/24/00,3,0,N/A,N/A,1
75,1,2,3,1/18/88,3,N/A,N/A,N/A,1
76,1,2,4,8/19/01,2,3,8/12/07,3,2
77,1,1,4,10/13/00,1,4,10/16/10,1,2
78,2,2,0,N/A,N/A,N/A,N/A,N/A,0
79,1,1,0,N/A,N/A,N/A,N/A,N/A,0
80,1,1,0,N/A,N/A,N/A,N/A,N/A,0
81,1,1,4,8/15/88,3,0,N/A,N/A,1
82,1,2,3,7/19/98,3,0,N/A,N/A,1
83,1,1,4,10/4/95,1,4,12/7/04,1,2
84,1,1,0,N/A,N/A,N/A,N/A,N/A,0
85,1,1,0,N/A,N/A,N/A,N/A,N/A,0
86,1,1,0,N/A,N/A,N/A,N/A,N/A,0
87,1,2,4,10/1/05,2,3,8/20/10,3,2
88,1,2,4,10/2/05,1,3,8/2/12,3,2
89,1,1,0,N/A,N/A,N/A,N/A,N/A,0
90,1,2,4,9/17/00,3,3,8/17/03,3,2
91,1,1,0,N/A,N/A,N/A,N/A,N/A,0
92,1,1,0,N/A,N/A,N/A,N/A,N/A,0
